url,댓글 수,댓글
https://n.news.naver.com/mnews/article/003/0013256418?sid=102,0,[]
https://n.news.naver.com/mnews/article/030/0003314598?sid=102,0,[]
https://n.news.naver.com/mnews/article/660/0000085681?sid=102,0,[]
https://n.news.naver.com/mnews/article/005/0001777839?sid=102,11,"['공약 발표한 이재명 본인도 반론못하던데\\n따질거면 이재명한테 따져라ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ', '머가 문제임???  여건상 어렵다는것을 말한건데', '정말 태양열 풍력 재생에너지로 안정성 공급이 될거라고 생각하세요? 차라리 원전을 지어서 데이터센터를 유치하겠다고하면 인정이라도 하지 바람안불고 햇빛 안나고 쉽게 관리운영수리도 안되는데 될거라고 믿는가? 지능좀 높이자 사이비에 속지말고', '그래서 어쩌라고요?', '미안하지만 호남인들도 냉정히 봐야하는게 기본적으로 데이터 케이블이 국내로 들어오는게 부산쪽이고, 안정적 전력공급 측면에서나 지역인재수급에서나 냉각수 공급에서나 어딜봐도 이준석 말대로 부산이 맞음', '원전 기반 탄탄한 부울경 쪽이 효율 측면에서 낫긴 하지 않음?? 이거도 호남 갈라치기라고 하는 거냐..', '다 좋다 다 된다는 이야기 보다 이건 어렵다 이건 된다 이렇게 이야기하는 사람이 더 믿음직하지 않나? 다 된다 다 해주겠다는 사람은 사기꾼이야', '해남이 문제라는게아니라 구조적 현실적으로 할 수가없다는건데 그럼 무조건 해준다고만 하는게 대한민국 지도자인가', '풍력으로 못하는거야 전남사람들아 포퓰리즘으로 나라를 어지럽히지 마리', '누가 하고 있는거 뭐라하던? 자기가 집권하면 해남에 안한다는건데. ㅋㅋ', '새 똥 치운다고 고생들 많습니다.']"
https://n.news.naver.com/mnews/article/003/0013256339?sid=102,0,[]
https://n.news.naver.com/mnews/article/001/0015402739?sid=100,0,[]
https://n.news.naver.com/mnews/article/016/0002474382?sid=100,12,"['철수형 표정 ㅋㅋㅋㅋㅋ 비호감1위 리틀윤석열 혼자쑈하라고 두세요', '안철수가 진국이다', '이럴때 쓰는말. 끼리끼리 잘논다', '여기서 안 의원 나쁘게 표현 하는 늠들 모두 좌파리가 확실 하다. 아런 sake들 말 산경 쓸 필요 없다. 안의원님  잘 하고 있습니다. 국함에서 현재 1인 3역을 해 내고 있어요. 좌파리 sake들 괜이 역선택 같은 그런 효과 노리고 ga 수작질', '당대표 다시 해줘ㅠㅠ', '단일화하면 간촬스! 준서기가 네 꼬라지보고 퍽이나 단일화하겠다. 되레 널보고 반면교사로 삼을걸', '철수씨 반찬보고 젓가락질이나 먼저 배우세요', '준석아, 계엄옹호, 윤석열 보호하는 내란당이 이재명 보다 낫냐? 단일화 하면 너도 계엄옹호, 내란잔당 합류하는거야.', '준석이가 이번에 간을 봐야 다음 대권 도전시 준비를 할건데 문수 한테 주냐? 문수가 사퇴해야지', '또철수야.너나잘해.또준석이는아니다.\\n너처럼절때 안한다고했다.마지막날 또철수했잔아.그때는장제원이가중매햇냐?\\n이번에는니가해보려고?', '철수 중매인으로 직업변경', '안철수는 뭐하는 놈이냐 ㅋㅋㅋㅋ 단일화 철수 전문이더니 이준석 보고 철수하라고? ㅋㅋㅋㅋㅋ 이준석으로 단일화 하면 되잖아 ㅋㅋㅋㅋㅋ']"
https://n.news.naver.com/mnews/article/003/0013256332?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256322?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256327?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256330?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256333?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256326?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256331?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256328?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256324?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256325?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256323?sid=102,0,[]
https://n.news.naver.com/mnews/article/003/0013256329?sid=102,0,[]
https://n.news.naver.com/mnews/article/001/0015402723?sid=102,0,[]
https://n.news.naver.com/mnews/article/448/0000529220?sid=102,0,[]
https://n.news.naver.com/mnews/article/047/0002474195?sid=154,0,[]
https://n.news.naver.com/mnews/article/032/0003370941?sid=102,0,[]
https://n.news.naver.com/mnews/article/469/0000865926?sid=105,0,[]
